5e-07	10000
1e-06	10000
1.5e-06	10000
-0.00113479	10000
-0.0012833	10000
-0.0012828	10000
-0.00120553	10000
-0.00120503	10000
0.000112361	10000
0.000112861	10000
0.000113361	10000
0.000113861	10000
0.000114361	10000
0.000114861	10000
0.000115361	10000
8.15541e-05	10000
8.20541e-05	10000
8.25541e-05	10000
0.000230176	10000
0.000230676	10000
0.000231176	10000
0.000231676	10000
0.000232176	10000
0.000232676	10000
0.000233176	10000
-0.000392059	10000
-0.000391559	10000
-5.44194e-05	10000
-5.39194e-05	10000
-0.000679527	10000
-0.000679027	10000
-0.000678527	10000
-0.000678027	10000
-0.000677527	10000
-0.000677027	10000
-0.000676527	10000
-0.000676027	10000
-0.000675527	10000
-0.000675027	10000
-0.000674527	10000
-0.000572575	10000
-0.000572075	10000
-0.000571575	10000
-0.000571075	10000
-0.000570575	10000
-0.001424	10000
-0.0014235	10000
-0.000829101	10000
-0.000828601	10000
-0.000828101	10000
-0.000827601	10000
-0.000827101	10000
-0.000826601	10000
-3.53158e-05	10000
-3.48158e-05	10000
-3.43158e-05	10000
-3.38158e-05	10000
-3.33158e-05	10000
-3.28158e-05	10000
-3.23158e-05	10000
-3.18158e-05	10000
-3.13158e-05	10000
0.000555663	10000
0.000556163	10000
0.000556663	10000
0.000557163	10000
0.000557663	10000
0.000558163	10000
0.000558663	10000
0.000559163	10000
0.000559663	10000
0.000560163	10000
0.000560663	10000
0.00221905	10000
0.00145139	10000
0.00145189	10000
0.00145239	10000
0.00145289	10000
0.00145339	10000
