5e-07	0.913
1e-06	0.9129
1.5e-06	0.9082
-0.00113479	0.8931
-0.0012833	0.8973
-0.0012828	0.8974
-0.00120553	0.8947
-0.00120503	0.9013
0.000112361	0.9053
0.000112861	0.9072
0.000113361	0.9058
0.000113861	0.9119
0.000114361	0.9078
0.000114861	0.9103
0.000115361	0.9104
8.15541e-05	0.916
8.20541e-05	0.9127
8.25541e-05	0.9112
0.000230176	0.9094
0.000230676	0.911
0.000231176	0.9143
0.000231676	0.914
0.000232176	0.9116
0.000232676	0.9134
0.000233176	0.9199
-0.000392059	0.9137
-0.000391559	0.916
-5.44194e-05	0.9208
-5.39194e-05	0.9225
-0.000679527	0.9169
-0.000679027	0.9213
-0.000678527	0.9166
-0.000678027	0.9205
-0.000677527	0.9237
-0.000677027	0.9199
-0.000676527	0.9197
-0.000676027	0.9248
-0.000675527	0.9215
-0.000675027	0.9247
-0.000674527	0.923
-0.000572575	0.9243
-0.000572075	0.9256
-0.000571575	0.9254
-0.000571075	0.9273
-0.000570575	0.9253
-0.001424	0.9248
-0.0014235	0.9278
-0.000829101	0.9239
-0.000828601	0.9246
-0.000828101	0.9279
-0.000827601	0.9299
-0.000827101	0.9332
-0.000826601	0.9304
-3.53158e-05	0.9316
-3.48158e-05	0.9363
-3.43158e-05	0.9355
-3.38158e-05	0.9354
-3.33158e-05	0.9388
-3.28158e-05	0.9372
-3.23158e-05	0.9356
-3.18158e-05	0.936
-3.13158e-05	0.9407
0.000555663	0.9331
0.000556163	0.9375
0.000556663	0.938
0.000557163	0.9343
0.000557663	0.9331
0.000558163	0.94
0.000558663	0.9358
0.000559163	0.9408
0.000559663	0.9361
0.000560163	0.9364
0.000560663	0.9336
0.00221905	0.9363
0.00145139	0.9404
0.00145189	0.9416
0.00145239	0.9406
0.00145289	0.9394
0.00145339	0.9399
